date,holiday_name,is_official
2026-01-01,Nieuwjaarsdag,true
2026-04-03,Goede Vrijdag,true
2026-04-05,Eerste Paasdag,true
2026-04-06,Tweede Paasdag,true
2026-04-27,Koningsdag,true
2026-05-05,Bevrijdingsdag,false
2026-05-14,Hemelvaartsdag,true
2026-05-24,Eerste Pinksterdag,true
2026-05-25,Tweede Pinksterdag,true
2026-12-25,Eerste Kerstdag,true
2026-12-26,Tweede Kerstdag,true
2026-12-31,Oudjaarsdag,true
2027-01-01,Nieuwjaarsdag,true
2027-03-26,Goede Vrijdag,true
2027-03-28,Eerste Paasdag,true
2027-03-29,Tweede Paasdag,true
2027-04-27,Koningsdag,true
2027-05-05,Bevrijdingsdag,false
2027-05-06,Hemelvaartsdag,true
2027-05-16,Eerste Pinksterdag,true
2027-05-17,Tweede Pinksterdag,true
2027-12-25,Eerste Kerstdag,true
2027-12-26,Tweede Kerstdag,true
2027-12-31,Oudjaarsdag,true
2028-01-01,Nieuwjaarsdag,true
2028-04-14,Goede Vrijdag,true
2028-04-16,Eerste Paasdag,true
2028-04-17,Tweede Paasdag,true
2028-04-27,Koningsdag,true
2028-05-05,Bevrijdingsdag,true
2028-05-25,Hemelvaartsdag,true
2028-06-04,Eerste Pinksterdag,true
2028-06-05,Tweede Pinksterdag,true
2028-12-25,Eerste Kerstdag,true
2028-12-26,Tweede Kerstdag,true
2028-12-31,Oudjaarsdag,true
2029-01-01,Nieuwjaarsdag,true
2029-03-30,Goede Vrijdag,true
2029-04-01,Eerste Paasdag,true
2029-04-02,Tweede Paasdag,true
2029-04-27,Koningsdag,true
2029-05-05,Bevrijdingsdag,false
2029-05-10,Hemelvaartsdag,true
2029-05-20,Eerste Pinksterdag,true
2029-05-21,Tweede Pinksterdag,true
2029-12-25,Eerste Kerstdag,true
2029-12-26,Tweede Kerstdag,true
2029-12-31,Oudjaarsdag,true
2030-01-01,Nieuwjaarsdag,true
2030-04-19,Goede Vrijdag,true
2030-04-21,Eerste Paasdag,true
2030-04-22,Tweede Paasdag,true
2030-04-27,Koningsdag,true
2030-05-05,Bevrijdingsdag,true
2030-05-30,Hemelvaartsdag,true
2030-06-09,Eerste Pinksterdag,true
2030-06-10,Tweede Pinksterdag,true
2030-12-25,Eerste Kerstdag,true
2030-12-26,Tweede Kerstdag,true
2030-12-31,Oudjaarsdag,true
